@relation RATE
@attribute PANIC numeric
@attribute COURAGE numeric
@attribute CHASEDBY numeric
@attribute distanceWithMe numeric
@attribute distanceWithSheperd numeric
@attribute myHungryLevel numeric
@attribute sheepHP numeric
@attribute class {SUCCESS,FAIL}
@data
0,0.9011959,1,21.64961,11.84662,60,100,FAIL
3.174325,0.7595253,1,17.76265,32.47644,60,100,SUCCESS
2.268924,0.7,1,6.365698,7.754663,10.84319,100,FAIL
4.848536,0.7,1,18.53312,54.91113,62.97905,100,SUCCESS
2.095672,0.7,1,44.72852,0.7409781,52.32856,100,FAIL
0.8065882,0.9218211,1,19.1105,71.13918,49.43277,100,SUCCESS
0,0.7,1,38.45066,12.81613,60,100,FAIL
6.162698,0.979413,1,2.225238,6.297341,53.37569,100,SUCCESS
2.510657,0.7,1,42.13842,9.112812,60,100,SUCCESS
0.7934586,0.7,1,2.755467,0.9351364,62.33361,100,SUCCESS
0,0.7,1,38.56295,3.49568,60,100,FAIL
2.191218,0.7,1,29.81802,10.53477,60,100,FAIL
0,0.7653555,1,1.774096,1.000713,53.96044,100,FAIL
0,0.5,1,17.43321,6.388464,50.72867,100,FAIL
0,0.09600291,1,22.3189,5.06369,59.15206,100,FAIL
0,0.139003,1,2.582303,1.052494,54.4644,100,FAIL
0,0.4777113,1,13.76405,6.19803,60,100,FAIL
2.377813,0.4760958,1,3.237651,7.151283,45.35562,100,FAIL
3.311598,0.4892273,1,30.26298,39.60482,2.126282,100,FAIL
0,0.5,1,24.86988,15.21309,60,100,FAIL
0,0.5,1,44.53065,2.410397,60,100,FAIL
1.99585,0.494035,1,8.475668,12.92276,55.00836,100,FAIL
0,0.5,1,25.38789,10.06269,60,100,FAIL
0,0.5,1,42.80666,4.954549,39.52944,100,FAIL
0,0.5,1,36.70058,15.22847,60,100,FAIL
0,0.5,1,49.19282,15.22847,60,100,FAIL
0,0.5,1,46.05893,15.22847,60,100,FAIL
2.843387,0.5,2,21.04951,11.39182,53.36591,100,FAIL
2.399013,0.4851722,1,3.393656,3.090658,43.51399,100,FAIL
2.268441,0.4869566,2,32.24173,43.75974,34.18526,100,SUCCESS
2.215742,0.4757959,1,47.64346,39.93056,59.6089,100,SUCCESS
3.302232,0.5,1,3.548462,4.630241,25.38516,100,FAIL
2.445274,0.5,2,39.24505,7.921703,54.70325,100,FAIL
2.449879,0.5,2,38.45475,8.071009,14.03952,100,FAIL
2.457203,0.4945605,3,7.57228,4.442165,49.51509,100,FAIL
2.464613,0.4936605,4,3.082098,1.67915,46.63278,57.96475,FAIL
2.464613,0.4936605,5,3.515997,0.1187533,46.61219,55.93838,FAIL
2.464613,0.4936605,6,3.968386,1.399542,46.59161,53.81765,FAIL
2.040358,0.5,3,11.86377,12.54869,42.09538,100,FAIL
2.183629,0.4887191,7,3.954169,1.752171,25.95065,100,FAIL
